cell_id,case,policy,agents,dependency_probability,avoidance_probability,edit_length_lines,nominal_overlap_probability,nominal_mu,sync_interval,post_dispatch_wait,wait_in_characteristic_units,observation_horizon,baseline_read_time,repair_clock,base_repair_time,edits_per_agent_time,files,lines_per_file,mean_completed_repair_attempts,mean_failed_completed_repairs,pooled_failure_fraction_completed_repairs,fixed_clock_collision_exposure,first_order_failure_probability,mean_initial_conflicts,mean_dispatches,pooled_dispatches_per_initial_conflict,mean_unresolved_initial_conflicts_no_dependency,pooled_unresolved_initial_conflict_fraction_no_dependency,seed_mean_over_five_unresolved_fraction,window_divided_by_minimum_attempt_slot,maximum_completed_attempts_per_window,maximum_dispatches_per_window_no_dependency,unobserved_tail_mean_upper_bound
9f2d456d5053b888,0,kick_back,2,0.0,0.0,4,0.003435063819150432,0.003435063819150432,0.5,291.1154064809551,1.0,9315.693007390562,start,context,0.25,1.0,8,256,25.5,3.8,0.14901960784313725,,,22.7,26.5,1.1674008810572687,1.0,0.04405286343612335,0.0,31.97254306852477,31,,not_identifiable_without_future_process_assumptions
0602887d3d614686,0,kick_back,2,0.0,0.0,4,0.003435063819150432,0.003435063819150432,0.5,582.2308129619101,2.0,9315.693007390562,start,context,0.25,1.0,8,256,13.3,1.7,0.12781954887218044,,,12.6,14.3,1.134920634920635,0.9999999999999982,0.07936507936507922,0.0,15.993132821011459,15,,not_identifiable_without_future_process_assumptions
9c7b939687a02556,0,kick_back,2,0.0,0.0,4,0.003435063819150432,0.003435063819150432,0.5,1164.4616259238203,4.0,9315.693007390562,start,context,0.25,1.0,8,256,6.733333333333333,1.0666666666666667,0.15841584158415842,,,6.666666666666667,7.733333333333333,1.16,1.0,0.15,0.0,7.998282836750759,7,,not_identifiable_without_future_process_assumptions
fde43e4dd8ab0b08,0,kick_back,2,0.0,0.0,16,0.01556231814190527,0.01556231814190527,0.5,0.0,0.0,2056.2489282256947,dispatch,fixed,0.25,1.0,8,256,16.233333333333334,0.0,0.0,0.25,0.0038830210364065496,16.233333333333334,16.233333333333334,1.0,0.0,0.0,0.0,8224.995712902779,8224,8225,not_identifiable_without_future_process_assumptions
cccf761136c3bea8,0,kick_back,2,0.0,0.0,16,0.01556231814190527,0.01556231814190527,0.5,16.06444475176324,0.25,2056.2489282256947,dispatch,fixed,0.25,1.0,8,256,118.56666666666666,25.6,0.21591228563396123,16.31444475176324,0.22422331675243126,93.96666666666667,119.56666666666666,1.272437034409365,1.0,0.01064207165661582,0.0,126.0385480176062,126,127,not_identifiable_without_future_process_assumptions
cc1d00cdab41cd67,0,kick_back,2,0.0,0.0,16,0.01556231814190527,0.01556231814190527,0.5,32.12888950352648,0.5,2056.2489282256947,dispatch,fixed,0.25,1.0,8,256,59.5,22.2,0.373109243697479,32.37888950352648,0.39582451159825627,38.333333333333336,60.5,1.5782608695652174,1.0333333333333385,0.02695652173913057,0.0,63.50585087242546,63,64,not_identifiable_without_future_process_assumptions
5c904ae28358bc71,0,kick_back,2,0.0,0.0,16,0.01556231814190527,0.01556231814190527,0.5,64.25777900705296,1.0,2056.2489282256947,dispatch,fixed,0.25,1.0,8,256,29.633333333333333,18.233333333333334,0.6152980877390327,64.50777900705296,0.6335490424374879,12.433333333333334,30.633333333333333,2.4638069705093835,1.033333333333335,0.08310991957104572,0.008624708624708625,31.87598394917417,31,32,not_identifiable_without_future_process_assumptions
65511e47d2b27e24,0,kick_back,2,0.0,0.0,16,0.01556231814190527,0.01556231814190527,0.5,128.51555801410592,2.0,2056.2489282256947,dispatch,fixed,0.25,1.0,8,256,14.466666666666667,12.366666666666667,0.8548387096774194,128.76555801410592,0.8651902265151631,3.1,15.466666666666667,4.989247311827957,1.0000000000000004,0.3225806451612905,0.3055555555555556,15.968935792600986,15,16,not_identifiable_without_future_process_assumptions
4cda1abf86d416d1,0,kick_back,2,0.0,0.0,16,0.01556231814190527,0.01556231814190527,0.5,257.03111602821184,4.0,2056.2489282256947,dispatch,fixed,0.25,1.0,8,256,6.833333333333333,6.7,0.9804878048780489,257.28111602821184,0.981755481122366,1.1333333333333333,7.833333333333333,6.911764705882353,1.0000000000000004,0.882352941176471,0.9,7.992226401879488,7,8,not_identifiable_without_future_process_assumptions
8de0e771553b9fe2,0,kick_back,2,0.0,0.0,16,0.01556231814190527,0.01556231814190527,0.5,0.0,0.0,2056.2489282256947,dispatch,context,0.25,1.0,8,256,16.333333333333332,0.0,0.0,,,16.333333333333332,16.333333333333332,1.0,0.0,0.0,0.0,8224.995712902779,8224,,not_identifiable_without_future_process_assumptions
