cell_id,case,policy,agents,dependency_probability,avoidance_probability,edit_length_lines,nominal_overlap_probability,nominal_mu,sync_interval,post_dispatch_wait,wait_in_characteristic_units,observation_horizon,baseline_read_time,repair_clock,base_repair_time,edits_per_agent_time,files,lines_per_file,pooled_dispatches_per_initial_conflict,dispatches_n,dispatches_mean,dispatches_ci95_low,dispatches_ci95_high,initial_conflicts_n,initial_conflicts_mean,initial_conflicts_ci95_low,initial_conflicts_ci95_high,ratio_ci95_low,ratio_ci95_high,ratio_interval_status
a5df322da596e761,0,kick_back,2,0.0,0.0,4,0.003435063819150432,0.003435063819150432,0.5,145.55770324047754,0.5,9315.693007390562,start,context,0.25,1.0,8,256,1.1495098039215688,30,46.9,46.03691417030211,47.763085829697886,30,40.8,39.853696556649744,41.74630344335025,,,not_identifiable_from_aggregate_inputs
9f2d456d5053b888,0,kick_back,2,0.0,0.0,4,0.003435063819150432,0.003435063819150432,0.5,291.1154064809551,1.0,9315.693007390562,start,context,0.25,1.0,8,256,1.1674008810572687,30,26.5,26.023129936490804,26.976870063509196,30,22.7,22.041170246817767,23.35882975318223,,,not_identifiable_from_aggregate_inputs
0602887d3d614686,0,kick_back,2,0.0,0.0,4,0.003435063819150432,0.003435063819150432,0.5,582.2308129619101,2.0,9315.693007390562,start,context,0.25,1.0,8,256,1.134920634920635,30,14.3,14.00060505459622,14.599394945403782,30,12.6,12.115323167271317,13.084676832728682,,,not_identifiable_from_aggregate_inputs
9c7b939687a02556,0,kick_back,2,0.0,0.0,4,0.003435063819150432,0.003435063819150432,0.5,1164.4616259238203,4.0,9315.693007390562,start,context,0.25,1.0,8,256,1.16,30,7.733333333333333,7.5723828995172235,7.894283767149443,30,6.666666666666667,6.336637990332223,6.996695343001111,,,not_identifiable_from_aggregate_inputs
fde43e4dd8ab0b08,0,kick_back,2,0.0,0.0,16,0.01556231814190527,0.01556231814190527,0.5,0.0,0.0,2056.2489282256947,dispatch,fixed,0.25,1.0,8,256,1.0,30,16.233333333333334,14.862836072009905,17.603830594656763,30,16.233333333333334,14.862836072009905,17.603830594656763,,,not_identifiable_from_aggregate_inputs
cccf761136c3bea8,0,kick_back,2,0.0,0.0,16,0.01556231814190527,0.01556231814190527,0.5,16.06444475176324,0.25,2056.2489282256947,dispatch,fixed,0.25,1.0,8,256,1.272437034409365,30,119.56666666666666,116.85653467966434,122.27679865366899,30,93.96666666666667,91.14040917079865,96.79292416253469,,,not_identifiable_from_aggregate_inputs
cc1d00cdab41cd67,0,kick_back,2,0.0,0.0,16,0.01556231814190527,0.01556231814190527,0.5,32.12888950352648,0.5,2056.2489282256947,dispatch,fixed,0.25,1.0,8,256,1.5782608695652174,30,60.5,59.14875468250729,61.85124531749271,30,38.333333333333336,37.01992543533919,39.64674123132748,,,not_identifiable_from_aggregate_inputs
5c904ae28358bc71,0,kick_back,2,0.0,0.0,16,0.01556231814190527,0.01556231814190527,0.5,64.25777900705296,1.0,2056.2489282256947,dispatch,fixed,0.25,1.0,8,256,2.4638069705093835,30,30.633333333333333,29.95252925610488,31.314137410561784,30,12.433333333333334,11.599742715579232,13.266923951087435,,,not_identifiable_from_aggregate_inputs
65511e47d2b27e24,0,kick_back,2,0.0,0.0,16,0.01556231814190527,0.01556231814190527,0.5,128.51555801410592,2.0,2056.2489282256947,dispatch,fixed,0.25,1.0,8,256,4.989247311827957,30,15.466666666666667,15.131328877340454,15.80200445599288,30,3.1,2.5654989220788695,3.6345010779211306,,,not_identifiable_from_aggregate_inputs
4cda1abf86d416d1,0,kick_back,2,0.0,0.0,16,0.01556231814190527,0.01556231814190527,0.5,257.03111602821184,4.0,2056.2489282256947,dispatch,fixed,0.25,1.0,8,256,6.911764705882353,30,7.833333333333333,7.6683189951661115,7.998347671500555,30,1.1333333333333333,1.0096097506814614,1.2570569159852052,,,not_identifiable_from_aggregate_inputs
