suite,cell_id,metric,runs_seen,runs_failed,n,mean,ci95_low,ci95_high,case,policy,agents,dependency_probability,avoidance_probability,edit_length_lines,nominal_overlap_probability,nominal_mu,sync_interval,post_dispatch_wait,wait_in_characteristic_units,observation_horizon,baseline_read_time,repair_clock,base_repair_time,edits_per_agent_time,files,lines_per_file
sync_interval,6bb14b2d00c4760a,failed_edits,30,0,30,0.13333333333333333,0.009609750681461526,0.25705691598520514,0,clean_first,2,0.0,0.0,4,0.003435063819150432,0.003435063819150432,0.25,0.0,,256.0,start,fixed,0.25,1.0,8,256
sync_interval,6bb14b2d00c4760a,failed_repair_completions,30,0,30,0,0.0,0.0,0,clean_first,2,0.0,0.0,4,0.003435063819150432,0.003435063819150432,0.25,0.0,,256.0,start,fixed,0.25,1.0,8,256
sync_interval,6bb14b2d00c4760a,first_failures_per_generated_edit,30,0,30,0.0002632640915462148,1.8894190775924828e-05,0.0005076339923165047,0,clean_first,2,0.0,0.0,4,0.003435063819150432,0.003435063819150432,0.25,0.0,,256.0,start,fixed,0.25,1.0,8,256
sync_interval,6bb14b2d00c4760a,first_failures_per_sync_call,30,0,30,0.00013008130081300812,9.37536651849902e-06,0.0002507872351075172,0,clean_first,2,0.0,0.0,4,0.003435063819150432,0.003435063819150432,0.25,0.0,,256.0,start,fixed,0.25,1.0,8,256
sync_interval,6bb14b2d00c4760a,first_failures_per_time,30,0,30,0.0005208333333333333,3.753808859945909e-05,0.0010041285780672076,0,clean_first,2,0.0,0.0,4,0.003435063819150432,0.003435063819150432,0.25,0.0,,256.0,start,fixed,0.25,1.0,8,256
sync_interval,6bb14b2d00c4760a,generated_edits,30,0,30,511.73333333333335,505.18406907820327,518.2825975884634,0,clean_first,2,0.0,0.0,4,0.003435063819150432,0.003435063819150432,0.25,0.0,,256.0,start,fixed,0.25,1.0,8,256
sync_interval,6bb14b2d00c4760a,landed_edits,30,0,30,511.73333333333335,505.18406907820327,518.2825975884634,0,clean_first,2,0.0,0.0,4,0.003435063819150432,0.003435063819150432,0.25,0.0,,256.0,start,fixed,0.25,1.0,8,256
sync_interval,6bb14b2d00c4760a,mean_first_failure_context_count,30,0,4,1.0,1.0,1.0,0,clean_first,2,0.0,0.0,4,0.003435063819150432,0.003435063819150432,0.25,0.0,,256.0,start,fixed,0.25,1.0,8,256
sync_interval,6bb14b2d00c4760a,mean_first_failure_overlap_lines,30,0,4,1.75,0.8117214343987886,2.6882785656012116,0,clean_first,2,0.0,0.0,4,0.003435063819150432,0.003435063819150432,0.25,0.0,,256.0,start,fixed,0.25,1.0,8,256
sync_interval,6bb14b2d00c4760a,mean_observed_latency,30,0,30,0.1242599956125905,0.12315441489051632,0.1253655763346647,0,clean_first,2,0.0,0.0,4,0.003435063819150432,0.003435063819150432,0.25,0.0,,256.0,start,fixed,0.25,1.0,8,256
sync_interval,6bb14b2d00c4760a,observed_repair_busy_time,30,0,30,0.03333333333333333,0.0024024376703653816,0.06426422899630128,0,clean_first,2,0.0,0.0,4,0.003435063819150432,0.003435063819150432,0.25,0.0,,256.0,start,fixed,0.25,1.0,8,256
sync_interval,6bb14b2d00c4760a,observed_repair_effort,30,0,30,0.19833333333333333,0.012244033713634112,0.3844226329530326,0,clean_first,2,0.0,0.0,4,0.003435063819150432,0.003435063819150432,0.25,0.0,,256.0,start,fixed,0.25,1.0,8,256
sync_interval,6bb14b2d00c4760a,overlap_pairs_per_generated_edit,30,0,30,0.0002632640915462148,1.8894190775924828e-05,0.0005076339923165047,0,clean_first,2,0.0,0.0,4,0.003435063819150432,0.003435063819150432,0.25,0.0,,256.0,start,fixed,0.25,1.0,8,256
sync_interval,6bb14b2d00c4760a,overlap_pairs_per_scheduled_interval,30,0,30,0.00013020833333333333,9.384522149864772e-06,0.0002510321445168019,0,clean_first,2,0.0,0.0,4,0.003435063819150432,0.003435063819150432,0.25,0.0,,256.0,start,fixed,0.25,1.0,8,256
sync_interval,6bb14b2d00c4760a,overlap_pairs_per_time,30,0,30,0.0005208333333333333,3.753808859945909e-05,0.0010041285780672076,0,clean_first,2,0.0,0.0,4,0.003435063819150432,0.003435063819150432,0.25,0.0,,256.0,start,fixed,0.25,1.0,8,256
sync_interval,6bb14b2d00c4760a,repair_effort_per_generated_edit,30,0,30,0.00039053794225002236,2.5121616009882066e-05,0.0007559542684901627,0,clean_first,2,0.0,0.0,4,0.003435063819150432,0.003435063819150432,0.25,0.0,,256.0,start,fixed,0.25,1.0,8,256
sync_interval,6bb14b2d00c4760a,repair_failure_fraction,30,0,4,0.0,0.0,0.0,0,clean_first,2,0.0,0.0,4,0.003435063819150432,0.003435063819150432,0.25,0.0,,256.0,start,fixed,0.25,1.0,8,256
sync_interval,6bb14b2d00c4760a,sync_calls,30,0,30,1024.1333333333334,1024.0096097506816,1024.2570569159852,0,clean_first,2,0.0,0.0,4,0.003435063819150432,0.003435063819150432,0.25,0.0,,256.0,start,fixed,0.25,1.0,8,256
sync_interval,6bb14b2d00c4760a,sync_requests,30,0,30,1024,1024.0,1024.0,0,clean_first,2,0.0,0.0,4,0.003435063819150432,0.003435063819150432,0.25,0.0,,256.0,start,fixed,0.25,1.0,8,256
sync_interval,6bb14b2d00c4760a,unresolved_edits,30,0,30,0,0.0,0.0,0,clean_first,2,0.0,0.0,4,0.003435063819150432,0.003435063819150432,0.25,0.0,,256.0,start,fixed,0.25,1.0,8,256
sync_interval,6bb14b2d00c4760a,unresolved_fraction,30,0,30,0.0,0.0,0.0,0,clean_first,2,0.0,0.0,4,0.003435063819150432,0.003435063819150432,0.25,0.0,,256.0,start,fixed,0.25,1.0,8,256
sync_interval,6bb14b2d00c4760a,unresolved_over_threshold_fraction,30,0,4,0.0,0.0,0.0,0,clean_first,2,0.0,0.0,4,0.003435063819150432,0.003435063819150432,0.25,0.0,,256.0,start,fixed,0.25,1.0,8,256
